DATE_TIME,VOLUME,RESP_AVG
2025-04-01 12:00:00,751,7.225091259
2025-04-01 13:00:00,758,7.890078747
2025-04-01 14:00:00,1133,7.738805309
2025-04-01 15:00:00,911,8.928282944
2025-04-01 16:00:00,4504,8.191919552
2025-04-01 17:00:00,1259,7.279829909
2025-04-01 18:00:00,961,6.490327744
2025-04-01 19:00:00,944,7.515281748
2025-04-01 20:00:00,1243,6.923450097
2025-04-01 21:00:00,1215,7.682574009
2025-04-01 22:00:00,965,6.724620187
2025-04-01 23:00:00,1283,6.471676914
2025-04-02 0:00:00,1234,6.769808308
2025-04-02 1:00:00,1014,5.712033384
2025-04-02 2:00:00,1270,7.412290706
2025-04-02 3:00:00,1118,6.908617538
2025-04-02 4:00:00,1500,6.71599786
2025-04-02 5:00:00,892,6.057808727
2025-04-02 6:00:00,832,8.946874372
2025-04-02 7:00:00,680,8.452120883
2025-04-02 8:00:00,695,7.219766115
2025-04-02 9:00:00,837,7.350206573
2025-04-02 10:00:00,748,7.915523141
2025-04-02 11:00:00,1111,8.401162147
2025-04-02 12:00:00,1152,7.360940648
2025-04-02 13:00:00,1314,9.074196608
2025-04-02 14:00:00,1205,7.918168938
2025-04-02 15:00:00,1561,8.006134617
2025-04-02 16:00:00,1159,8.196374339
2025-04-02 17:00:00,1153,7.36675558
2025-04-02 18:00:00,1468,6.960331075
2025-04-02 19:00:00,1213,6.370724904
2025-04-02 20:00:00,989,7.383772687
2025-04-02 21:00:00,1096,7.727445515
2025-04-02 22:00:00,1241,8.901618278
2025-04-02 23:00:00,1246,7.788566325
2025-04-03 0:00:00,1319,7.304005924
2025-04-03 1:00:00,1312,9.761576961
2025-04-03 2:00:00,1061,6.752930469
2025-04-03 3:00:00,1068,7.847009551
2025-04-03 4:00:00,1255,7.35943711
2025-04-03 5:00:00,824,7.054998554
2025-04-03 6:00:00,908,7.189933809
2025-04-03 7:00:00,764,8.834807969
2025-04-03 8:00:00,760,8.100038207
2025-04-03 9:00:00,927,7.161015898
2025-04-03 10:00:00,865,7.497676897
2025-04-03 11:00:00,1053,7.897952437
2025-04-03 12:00:00,807,7.224892878
2025-04-03 13:00:00,1131,7.166494192
2025-04-03 14:00:00,1248,8.10841178
2025-04-03 15:00:00,1187,7.356382689
2025-04-03 16:00:00,1199,7.49164671
2025-04-03 17:00:00,1342,7.184348381
2025-04-03 18:00:00,1136,8.751943201
2025-04-03 19:00:00,1106,5.765904613
2025-04-03 20:00:00,929,6.635329079
2025-04-03 21:00:00,794,6.936876193
2025-04-03 22:00:00,777,8.137157935
2025-04-03 23:00:00,1042,6.817093015
2025-04-04 0:00:00,1208,6.102883305
2025-04-04 1:00:00,1056,5.582443562
2025-04-04 2:00:00,1084,7.345241721
2025-04-04 3:00:00,1001,7.119298307
2025-04-04 4:00:00,879,6.228191386
2025-04-04 5:00:00,947,6.144775736
2025-04-04 6:00:00,729,6.439375477
2025-04-04 7:00:00,815,5.817097557
2025-04-04 8:00:00,816,7.575669724
2025-04-04 9:00:00,1031,6.272216823
2025-04-04 10:00:00,844,6.331250729
2025-04-04 11:00:00,827,7.10601646
2025-04-04 12:00:00,1049,7.892128868
2025-04-04 13:00:00,1085,8.255521358
2025-04-04 14:00:00,985,8.561464376
2025-04-04 15:00:00,1104,9.678171264
2025-04-04 16:00:00,1197,8.842599246
2025-04-04 17:00:00,1050,6.094872962
2025-04-04 18:00:00,1067,7.864146968
2025-04-04 19:00:00,2686,6.874961883
2025-04-04 20:00:00,2690,4.984086037
2025-04-04 21:00:00,830,6.82484303
2025-04-04 22:00:00,750,5.805192323
2025-04-04 23:00:00,680,7.403895041
2025-04-05 0:00:00,899,7.772932892
2025-04-05 2:00:00,945,5.233602885
2025-04-05 4:00:00,532,6.630549429
2025-04-05 5:00:00,493,5.919546426
2025-04-05 7:00:00,700,5.75896335
2025-04-05 10:00:00,528,7.715699138
2025-04-05 13:00:00,862,5.935675853
2025-04-05 15:00:00,839,6.204898401
2025-04-05 18:00:00,974,7.439297434
2025-04-05 19:00:00,1082,6.472575971
2025-04-05 20:00:00,977,5.858317243
2025-04-05 21:00:00,1000,14.49586962
2025-04-05 22:00:00,888,5.821682906
2025-04-06 0:00:00,1088,6.130020728
2025-04-06 1:00:00,804,6.040144274
2025-04-06 2:00:00,768,12.16968002
2025-04-06 3:00:00,764,4.630771435
2025-04-06 7:00:00,953,6.03655556
2025-04-06 13:00:00,861,12.76043509
2025-04-06 15:00:00,1241,7.272590772
2025-04-06 16:00:00,1251,6.773043229
2025-04-06 18:00:00,955,7.056065255
